timestep_time;edge_id;lane_id;vehicle_id;vehicle_pos;vehicle_speed
0.00;;;;;
1.00;;;;;
2.00;;;;;
3.00;;;;;
4.00;;;;;
5.00;;;;;
6.00;;;;;
7.00;;;;;
8.00;;;;;
9.00;;;;;
10.00;;;;;
11.00;in;in_0;veh1;3.10;10.00
12.00;in;in_0;veh1;13.10;10.00
13.00;in;in_0;veh1;23.10;10.00
14.00;in;in_0;veh1;33.10;10.00
15.00;in;in_0;veh1;43.10;10.00
16.00;in;in_0;veh1;53.10;10.00
17.00;in;in_0;veh1;63.10;10.00
18.00;in;in_0;veh1;73.10;10.00
19.00;in;in_0;veh1;83.10;10.00
20.00;in;in_0;veh1;93.10;10.00
21.00;in;in_0;veh1;103.10;10.00
22.00;in;in_0;veh1;113.10;10.00
23.00;in;in_0;veh1;123.10;10.00
24.00;in;in_0;veh1;133.10;10.00
25.00;in;in_0;veh1;143.10;10.00
26.00;in;in_0;veh1;153.10;10.00
27.00;in;in_0;veh1;163.10;10.00
28.00;in;in_0;veh1;173.10;10.00
29.00;in;in_0;veh1;183.10;10.00
30.00;in;in_0;veh2;3.10;13.00
30.00;in;in_0;veh1;193.10;10.00
31.00;in;in_0;veh2;16.10;13.00
31.00;in;in_0;veh1;203.10;10.00
32.00;in;in_0;veh2;29.10;13.00
32.00;in;in_0;veh1;213.10;10.00
33.00;in;in_0;veh2;42.10;13.00
33.00;in;in_0;veh1;223.10;10.00
34.00;in;in_0;veh2;55.10;13.00
34.00;in;in_0;veh1;233.10;10.00
35.00;in;in_0;veh2;68.10;13.00
35.00;in;in_0;veh1;243.10;10.00
36.00;in;in_0;veh2;81.10;13.00
36.00;in;in_0;veh1;253.10;10.00
37.00;in;in_0;veh2;94.10;13.00
37.00;in;in_0;veh1;263.10;10.00
38.00;in;in_0;veh2;107.10;13.00
38.00;in;in_0;veh1;273.10;10.00
39.00;in;in_0;veh2;120.10;13.00
39.00;in;in_0;veh1;283.10;10.00
40.00;in;in_0;veh2;133.10;13.00
40.00;in;in_0;veh1;293.10;10.00
41.00;in;in_0;veh2;146.10;13.00
41.00;in;in_0;veh1;303.10;10.00
42.00;in;in_0;veh2;159.10;13.00
42.00;in;in_0;veh1;313.10;10.00
43.00;in;in_0;veh2;172.10;13.00
43.00;in;in_0;veh1;323.10;10.00
44.00;in;in_0;veh2;185.10;13.00
44.00;in;in_0;veh1;333.10;10.00
45.00;in;in_0;veh2;198.10;13.00
45.00;in;in_0;veh1;343.10;10.00
46.00;in;in_0;veh2;211.10;13.00
46.00;in;in_0;veh1;353.10;10.00
47.00;in;in_0;veh2;224.10;13.00
47.00;in;in_0;veh1;363.10;10.00
48.00;in;in_0;veh2;237.10;13.00
48.00;in;in_0;veh1;373.11;10.00
49.00;in;in_0;veh2;250.10;13.00
49.00;in;in_0;veh1;383.11;10.00
50.00;in;in_0;veh2;263.10;13.00
50.00;in;in_0;veh1;393.11;10.00
51.00;in;in_0;veh2;276.10;13.00
51.00;in;in_0;veh1;403.11;10.00
52.00;in;in_0;veh2;289.10;13.00
52.00;in;in_0;veh1;413.11;10.00
53.00;in;in_0;veh2;302.10;13.00
53.00;in;in_0;veh1;423.11;10.00
54.00;in;in_0;veh3;3.10;8.00
54.00;in;in_0;veh2;315.10;13.00
54.00;in;in_0;veh1;433.11;10.00
55.00;in;in_0;veh3;11.10;8.00
55.00;in;in_0;veh2;328.10;13.00
55.00;in;in_0;veh1;443.11;10.00
56.00;in;in_0;veh3;19.10;8.00
56.00;in;in_0;veh2;341.10;13.00
56.00;in;in_0;veh1;453.11;10.00
57.00;in;in_0;veh3;27.10;8.00
57.00;in;in_0;veh2;354.10;13.00
57.00;in;in_0;veh1;463.11;10.00
58.00;in;in_0;veh3;35.10;8.00
58.00;in;in_0;veh2;367.10;13.00
58.00;in;in_0;veh1;473.11;10.00
59.00;in;in_0;veh3;43.10;8.00
59.00;in;in_0;veh2;380.10;13.00
59.00;in;in_0;veh1;483.11;10.00
60.00;in;in_0;veh3;51.10;8.00
60.00;in;in_0;veh2;393.10;13.00
60.00;in;in_0;veh1;493.11;10.00
61.00;in;in_0;veh3;59.10;8.00
61.00;in;in_0;veh2;406.10;13.00
61.00;in;in_0;veh1;503.11;10.00
62.00;in;in_0;veh3;67.10;8.00
62.00;in;in_0;veh2;419.10;13.00
62.00;in;in_0;veh1;513.11;10.00
63.00;in;in_0;veh3;75.10;8.00
63.00;in;in_0;veh2;432.10;13.00
63.00;in;in_0;veh1;523.11;10.00
64.00;in;in_0;veh3;83.10;8.00
64.00;in;in_0;veh2;445.10;13.00
64.00;in;in_0;veh1;533.11;10.00
65.00;in;in_0;veh3;91.10;8.00
65.00;in;in_0;veh2;458.10;13.00
65.00;in;in_0;veh1;543.11;10.00
66.00;in;in_0;veh3;99.10;8.00
66.00;in;in_0;veh2;471.11;13.00
66.00;in;in_0;veh1;553.11;10.00
67.00;in;in_0;veh3;107.10;8.00
67.00;in;in_0;veh2;484.11;13.00
67.00;in;in_0;veh1;563.11;10.00
68.00;in;in_0;veh3;115.10;8.00
68.00;in;in_0;veh2;497.11;13.00
68.00;in;in_0;veh1;573.11;10.00
69.00;in;in_0;veh3;123.10;8.00
69.00;in;in_0;veh2;510.11;13.00
69.00;in;in_0;veh1;583.11;10.00
70.00;in;in_0;veh3;131.10;8.00
70.00;in;in_0;veh2;523.11;13.00
70.00;in;in_0;veh1;593.11;10.00
71.00;in;in_0;veh3;139.10;8.00
71.00;in;in_0;veh2;536.11;13.00
71.00;in;in_0;veh1;603.11;10.00
72.00;in;in_0;veh3;147.10;8.00
72.00;in;in_0;veh2;549.11;13.00
72.00;in;in_0;veh1;613.11;10.00
73.00;in;in_0;veh4;3.10;12.00
73.00;in;in_0;veh3;155.10;8.00
73.00;in;in_0;veh2;562.11;13.00
73.00;in;in_0;veh1;623.11;10.00
74.00;in;in_0;veh4;15.10;12.00
74.00;in;in_0;veh3;163.10;8.00
74.00;in;in_0;veh2;575.11;13.00
74.00;in;in_0;veh1;633.11;10.00
75.00;in;in_0;veh4;27.10;12.00
75.00;in;in_0;veh3;171.10;8.00
75.00;in;in_0;veh2;588.11;13.00
75.00;in;in_0;veh1;643.12;10.00
76.00;in;in_0;veh4;39.10;12.00
76.00;in;in_0;veh3;179.10;8.00
76.00;in;in_0;veh2;601.11;13.00
76.00;in;in_0;veh1;653.12;10.00
77.00;in;in_0;veh4;51.10;12.00
77.00;in;in_0;veh3;187.10;8.00
77.00;in;in_0;veh2;614.11;13.00
77.00;in;in_0;veh1;663.12;10.00
78.00;in;in_0;veh4;63.10;12.00
78.00;in;in_0;veh3;195.10;8.00
78.00;in;in_0;veh2;627.11;13.00
78.00;in;in_0;veh1;673.12;10.00
79.00;in;in_0;veh4;75.10;12.00
79.00;in;in_0;veh3;203.10;8.00
