timestep_time;edge_id;lane_id;vehicle_id;vehicle_pos;vehicle_speed
0.00;;;;;
1.00;;;;;
2.00;;;;;
3.00;;;;;
4.00;;;;;
5.00;;;;;
6.00;;;;;
7.00;;;;;
8.00;;;;;
9.00;;;;;
10.00;;;;;
11.00;;;;;
12.00;in;in_0;veh1;3.10;8.00
13.00;in;in_0;veh1;11.10;8.00
14.00;in;in_0;veh1;19.10;8.00
15.00;in;in_0;veh1;27.10;8.00
16.00;in;in_0;veh1;35.10;8.00
17.00;in;in_0;veh1;43.10;8.00
18.00;in;in_0;veh1;51.10;8.00
19.00;in;in_0;veh1;59.10;8.00
20.00;in;in_0;veh1;67.10;8.00
21.00;in;in_0;veh1;75.10;8.00
22.00;in;in_0;veh2;3.10;8.00
22.00;in;in_0;veh1;83.10;8.00
23.00;in;in_0;veh2;11.10;8.00
23.00;in;in_0;veh1;91.10;8.00
24.00;in;in_0;veh2;19.10;8.00
24.00;in;in_0;veh1;99.10;8.00
25.00;in;in_0;veh2;27.10;8.00
25.00;in;in_0;veh1;107.10;8.00
26.00;in;in_0;veh2;35.10;8.00
26.00;in;in_0;veh1;115.10;8.00
27.00;in;in_0;veh2;43.10;8.00
27.00;in;in_0;veh1;123.10;8.00
28.00;in;in_0;veh2;51.10;8.00
28.00;in;in_0;veh1;131.10;8.00
29.00;in;in_0;veh2;59.10;8.00
29.00;in;in_0;veh1;139.10;8.00
30.00;in;in_0;veh2;67.10;8.00
30.00;in;in_0;veh1;147.10;8.00
31.00;in;in_0;veh2;75.10;8.00
31.00;in;in_0;veh1;155.10;8.00
32.00;in;in_0;veh2;83.10;8.00
32.00;in;in_0;veh1;163.10;8.00
33.00;in;in_0;veh2;91.10;8.00
33.00;in;in_0;veh1;171.10;8.00
34.00;in;in_0;veh2;99.10;8.00
34.00;in;in_0;veh1;179.10;8.00
35.00;in;in_0;veh2;107.10;8.00
35.00;in;in_0;veh1;187.10;8.00
36.00;in;in_0;veh2;115.10;8.00
36.00;in;in_0;veh1;195.10;8.00
37.00;in;in_0;veh2;123.10;8.00
37.00;in;in_0;veh1;203.10;8.00
38.00;in;in_0;veh2;131.10;8.00
38.00;in;in_0;veh1;211.10;8.00
39.00;in;in_0;veh2;139.10;8.00
39.00;in;in_0;veh1;219.10;8.00
40.00;in;in_0;veh2;147.10;8.00
40.00;in;in_0;veh1;227.10;8.00
41.00;in;in_0;veh2;155.10;8.00
41.00;in;in_0;veh1;235.10;8.00
42.00;in;in_0;veh3;3.10;8.00
42.00;in;in_0;veh2;163.10;8.00
42.00;in;in_0;veh1;243.10;8.00
43.00;in;in_0;veh3;11.10;8.00
43.00;in;in_0;veh2;171.10;8.00
43.00;in;in_0;veh1;251.10;8.00
44.00;in;in_0;veh3;19.10;8.00
44.00;in;in_0;veh2;179.10;8.00
44.00;in;in_0;veh1;259.10;8.00
45.00;in;in_0;veh3;27.10;8.00
45.00;in;in_0;veh2;187.10;8.00
45.00;in;in_0;veh1;267.10;8.00
46.00;in;in_0;veh3;35.10;8.00
46.00;in;in_0;veh2;195.10;8.00
46.00;in;in_0;veh1;275.10;8.00
47.00;in;in_0;veh3;43.10;8.00
47.00;in;in_0;veh2;203.10;8.00
47.00;in;in_0;veh1;283.10;8.00
48.00;in;in_0;veh3;51.10;8.00
48.00;in;in_0;veh2;211.10;8.00
48.00;in;in_0;veh1;291.11;8.00
49.00;in;in_0;veh3;59.10;8.00
49.00;in;in_0;veh2;219.10;8.00
49.00;in;in_0;veh1;299.11;8.00
50.00;in;in_0;veh3;67.10;8.00
50.00;in;in_0;veh2;227.10;8.00
50.00;in;in_0;veh1;307.11;8.00
51.00;in;in_0;veh3;75.10;8.00
51.00;in;in_0;veh2;235.10;8.00
51.00;in;in_0;veh1;315.11;8.00
52.00;in;in_0;veh3;83.10;8.00
52.00;in;in_0;veh2;243.10;8.00
52.00;in;in_0;veh1;323.11;8.00
53.00;in;in_0;veh4;3.10;9.00
53.00;in;in_0;veh3;91.10;8.00
53.00;in;in_0;veh2;251.10;8.00
53.00;in;in_0;veh1;331.11;8.00
54.00;in;in_0;veh4;12.10;9.00
54.00;in;in_0;veh3;99.10;8.00
54.00;in;in_0;veh2;259.10;8.00
54.00;in;in_0;veh1;339.11;8.00
55.00;in;in_0;veh4;21.10;9.00
55.00;in;in_0;veh3;107.10;8.00
55.00;in;in_0;veh2;267.10;8.00
55.00;in;in_0;veh1;347.11;8.00
56.00;in;in_0;veh4;30.10;9.00
56.00;in;in_0;veh3;115.10;8.00
56.00;in;in_0;veh2;275.10;8.00
56.00;in;in_0;veh1;355.11;8.00
57.00;in;in_0;veh4;39.10;9.00
57.00;in;in_0;veh3;123.10;8.00
57.00;in;in_0;veh2;283.10;8.00
57.00;in;in_0;veh1;363.11;8.00
58.00;in;in_0;veh4;48.10;9.00
58.00;in;in_0;veh3;131.10;8.00
58.00;in;in_0;veh2;291.10;8.00
58.00;in;in_0;veh1;371.11;8.00
59.00;in;in_0;veh5;3.10;8.00
59.00;in;in_0;veh4;57.10;9.00
59.00;in;in_0;veh3;139.10;8.00
59.00;in;in_0;veh2;299.10;8.00
59.00;in;in_0;veh1;379.11;8.00
60.00;in;in_0;veh5;11.10;8.00
60.00;in;in_0;veh4;66.10;9.00
60.00;in;in_0;veh3;147.10;8.00
60.00;in;in_0;veh2;307.11;8.00
60.00;in;in_0;veh1;387.11;8.00
61.00;in;in_0;veh5;19.10;8.00
61.00;in;in_0;veh4;75.10;9.00
61.00;in;in_0;veh3;155.10;8.00
61.00;in;in_0;veh2;315.11;8.00
61.00;in;in_0;veh1;395.11;8.00
62.00;in;in_0;veh5;27.10;8.00
62.00;in;in_0;veh4;84.10;9.00
62.00;in;in_0;veh3;163.10;8.00
62.00;in;in_0;veh2;323.11;8.00
62.00;in;in_0;veh1;403.11;8.00
63.00;in;in_0;veh5;35.10;8.00
63.00;in;in_0;veh4;93.10;9.00
63.00;in;in_0;veh3;171.10;8.00
63.00;in;in_0;veh2;331.11;8.00
63.00;in;in_0;veh1;411.11;8.00
64.00;in;in_0;veh5;43.10;8.00
64.00;in;in_0;veh4;102.10;9.00
64.00;in;in_0;veh3;179.10;8.00
64.00;in;in_0;veh2;339.11;8.00
64.00;in;in_0;veh1;419.11;8.00
65.00;in;in_0;veh5;51.10;8.00
65.00;in;in_0;veh4;111.10;9.00
65.00;in;in_0;veh3;187.10;8.00
65.00;in;in_0;veh2;347.11;8.00
65.00;in;in_0;veh1;427.11;8.00
66.00;in;in_0;veh5;59.10;8.00
66.00;in;in_0;veh4;120.10;9.00
66.00;in;in_0;veh3;195.10;8.00
66.00;in;in_0;veh2;355.11;8.00
66.00;in;in_0;veh1;435.11;8.00
67.00;in;in_0;veh5;67.10;8.00
67.00;in;in_0;veh4;129.10;9.00
